Časová značka,Pohlaví,Věk,Mateřský jazyk,Ptáci [Kur domácí (slepice)],Ptáci [Vrána],Ptáci [Holubice],Ptáci [Kachna],Ptáci [Plameňák],Ptáci [Racek],Ptáci [Jestřáb],Ptáci [Kiwi],Ptáci [Skřivan],Ptáci [Pštros],Ptáci [Andulka],Ptáci [Tučňák],Ptáci [Bažant],Ptáci [Nandu],Ptáci [Zoboun],Ptáci [Chaluha],Ptáci [Vrabec],Ptáci [Labuť],Ptáci [Sup],Ptáci [Střízlík],Savci [Hrabáč],Savci [Antilopa],Savci [Medvěd],Savci [Kanec],Savci [Buvol],Savci [Tur domácí (kráva)],Savci [Morče],Savci [Gepard],Savci [Jelen],Savci [Delfín],Savci [Slon],Savci [Kaloň],Savci [Žirafa],Savci [Koza],Savci [Gorila],Savci [Křeček],Savci [Zajíc],Savci [Leopard],Savci [Lev],Savci [Rys],Savci [Norek],Savci [Krtek],Savci [Mangusta],Savci [Vačice],Savci [Přímorožec],Savci [Ptakopysk],Savci [Tchoř],Savci [Poník],Savci [Sviňucha],Savci [Puma],Savci [Kočka],Savci [Mýval],Savci [Sob],Savci [Tuleň],Savci [Lachtan],Savci [Veverka],Savci [Upír],Savci [Hraboš],Savci [Klokan],Savci [Vlk],Ryby [Okoun],Ryby [Kapr],Ryby [Sumec],Ryby [Tloušť],Ryby [Ostroun],Ryby [Treska],Ryby [Sleď],Ryby [Štika],Ryby [Piraňa],Ryby [Mořský koník],Ryby [Jazyk],Ryby [Rejnok],Ryby [Tuňák]
4.2.2021 13:37:00,Muž,19,Čeština,3,5 (nejvíce typické),4,5 (nejvíce typické),1 (nejméně typické),3,2,1 (nejméně typické),2,1 (nejméně typické),4,1 (nejméně typické),3,1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),5 (nejvíce typické),4,2,1 (nejméně typické),,2,4,4,4,5 (nejvíce typické),2,2,4,2,2,,4,5 (nejvíce typické),5 (nejvíce typické),2,4,3,2,3,,1 (nejméně typické),,,,1 (nejméně typické),3,2,,2,4,2,3,3,2,1 (nejméně typické),1 (nejméně typické),2,4,4,4,5 (nejvíce typické),5 (nejvíce typické),,,,,4,3,1 (nejméně typické),1 (nejméně typické),2,5 (nejvíce typické)
4.2.2021 13:38:34,Muž,29,Čeština,4,5 (nejvíce typické),5 (nejvíce typické),3,3,4,5 (nejvíce typické),2,5 (nejvíce typické),3,5 (nejvíce typické),2,3,3,4,,5 (nejvíce typické),3,5 (nejvíce typické),4,4,4,5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,4,4,2,2,4,2,4,,2,5 (nejvíce typické),5 (nejvíce typické),4,4,3,3,5 (nejvíce typické),,4,3,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),,3,4,4,5 (nejvíce typické),5 (nejvíce typické),3,2,3,5 (nejvíce typické)
4.2.2021 13:43:55,Muž,26,Čeština,4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),3,5 (nejvíce typické),1 (nejméně typické),4,3,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),4,5 (nejvíce typické),3,4,5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),3,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),,5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),3,3,3,5 (nejvíce typické)
4.2.2021 13:50:32,Žena,28,Čeština,3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),4,4,3,2,,,,5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,,3,,5 (nejvíce typické),,3,4,5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),4,3,3,2,3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),,,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické)
4.2.2021 13:50:48,Žena,26,Čeština,4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),4,5 (nejvíce typické),4,4,4,4,2,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,3,4,5 (nejvíce typické),4,5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),4,4,4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické)
4.2.2021 13:51:06,Žena,19,Čeština,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,3,3,,1 (nejméně typické),5 (nejvíce typické),4,4,,3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),3,5 (nejvíce typické),3,4,5 (nejvíce typické),5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),3,3,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),2,3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,2,5 (nejvíce typické),5 (nejvíce typické)
4.2.2021 14:28:23,Muž,22,Čeština,2,5 (nejvíce typické),5 (nejvíce typické),2,2,5 (nejvíce typické),4,1 (nejméně typické),5 (nejvíce typické),1 (nejméně typické),5 (nejvíce typické),1 (nejméně typické),2,1 (nejméně typické),,,5 (nejvíce typické),2,4,,,4,5 (nejvíce typické),4,4,5 (nejvíce typické),3,5 (nejvíce typické),4,2,4,2,4,5 (nejvíce typické),5 (nejvíce typické),3,4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,2,1 (nejméně typické),2,,2,3,4,,5 (nejvíce typické),4,3,4,3,4,3,2,2,3,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),,,4,4,4,3,1 (nejméně typické),,2,5 (nejvíce typické)
4.2.2021 15:07:34,Žena,19,Čeština,3,5 (nejvíce typické),5 (nejvíce typické),4,3,5 (nejvíce typické),4,1 (nejméně typické),5 (nejvíce typické),2,5 (nejvíce typické),2,3,,,1 (nejméně typické),5 (nejvíce typické),3,4,3,2,4,3,4,4,5 (nejvíce typické),5 (nejvíce typické),4,4,5 (nejvíce typické),4,,3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,4,4,4,2,2,,2,,2,2,5 (nejvíce typické),,4,5 (nejvíce typické),,4,3,1 (nejméně typické),2,4,3,2,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),2,2,5 (nejvíce typické),4,5 (nejvíce typické),3,1 (nejméně typické),,3,5 (nejvíce typické)
4.2.2021 15:22:07,Muž,24,Čeština,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),,5 (nejvíce typické),3,5 (nejvíce typické),3,3,,,,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),1 (nejméně typické),5 (nejvíce typické),5 (nejvíce typické),4,4,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),1 (nejméně typické),2,,3,,4,2,5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),4,3,3,3,4,1 (nejméně typické),3,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),,,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,,5 (nejvíce typické),5 (nejvíce typické)
4.2.2021 15:22:44,Muž,20,Čeština,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),4,3,5 (nejvíce typické),3,4,2,3,3,3,3,5 (nejvíce typické),4,4,4,3,4,5 (nejvíce typické),4,4,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),2,4,2,4,4,5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,4,3,4,3,1 (nejméně typické),4,5 (nejvíce typické),3,,5 (nejvíce typické),5 (nejvíce typické),4,3,3,4,2,4,4,5 (nejvíce typické),4,5 (nejvíce typické),3,2,3,5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),2,1 (nejméně typické),1 (nejméně typické),5 (nejvíce typické)
4.2.2021 17:31:45,Muž,31,Čeština,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),2,5 (nejvíce typické),5 (nejvíce typické),,5 (nejvíce typické),2,4,1 (nejméně typické),5 (nejvíce typické),,,1 (nejméně typické),5 (nejvíce typické),2,5 (nejvíce typické),,,5 (nejvíce typické),2,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),3,1 (nejméně typické),,2,5 (nejvíce typické),5 (nejvíce typické),4,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),,4,,3,,2,3,5 (nejvíce typické),1 (nejméně typické),5 (nejvíce typické),5 (nejvíce typické),3,5 (nejvíce typické),2,3,4,3,5 (nejvíce typické),2,5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),5 (nejvíce typické),,,5 (nejvíce typické),,5 (nejvíce typické),5 (nejvíce typické),1 (nejméně typické),,1 (nejméně typické),5 (nejvíce typické)
4.2.2021 17:32:50,Muž,22,Čeština,3,1 (nejméně typické),1 (nejméně typické),3,3,1 (nejméně typické),1 (nejméně typické),3,1 (nejméně typické),4,2,3,3,3,5 (nejvíce typické),5 (nejvíce typické),1 (nejméně typické),3,1 (nejméně typické),5 (nejvíce typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),3,1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),3,3,5 (nejvíce typické),3,5 (nejvíce typické),3,4,1 (nejméně typické),4,1 (nejméně typické),1 (nejméně typické),3,1 (nejméně typické),3,3,4,1 (nejméně typické),4,1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),5 (nejvíce typické),5 (nejvíce typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),1 (nejméně typické),5 (nejvíce typické),1 (nejméně typické),1 (nejméně typické)
